,ACGL,ADM,AIG,ALK,AOS,BSX,CL,CPRT,EXC,GE,HD,HIG,HST,JBHT,KO,MAS,MGM,SJM,SNA,TROW
1996-02-01,-0.613505073330467,1.3157834553321646,0.0,12.658227848101266,-3.482616084925405,-6.341463414634141,5.743243243243246,-5.882452504158342,-8.13008123011163,-1.6286698333894845,-5.978265990606946,2.7431421446383997,13.043485627057416,16.799999999999994,7.13101160862355,-2.5641061793287068,12.711864406779672,-3.0120481927710885,1.7045455284355082,-0.462962962962965
1996-03-01,1.2345737881130692,-4.545450622386582,-3.354839292718781,20.2247191011236,-2.577301388855835,-4.1666666666666625,-0.4792332268370614,-11.607094686832253,-5.752208075298193,3.1457007971581685,10.404624736306278,-4.854368932038833,3.846153269717001,8.219178082191792,2.4767801857585203,1.7543859649122862,15.413533834586456,10.559006211180133,4.469282457971091,-1.3953488372092981
1996-04-01,-3.048800081811298,2.72108994942748,-2.4032020600466053,-4.672897196261683,-2.6454834710983977,-6.25,-1.60513643659711,10.10094844933711,-7.0422556430094545,-0.802565955686052,-0.7853373496704674,-1.2755102040816313,-0.9259312043953805,3.164556962025311,-1.5105740181268867,-6.034479016270988,13.68078175895766,-5.0561797752809,2.6737926024659187,5.188679245283012
1996-05-01,-0.6289393052787529,3.311253300832817,3.1463769492255267,1.9607843137254832,16.30431973641775,-0.5797101449275366,2.7732463295269127,-37.61458272088159,-0.5050542702395244,7.119734681242296,7.91556434244407,6.976744186046502,-1.869155066539474,-6.748466257668717,12.883435582822077,14.678898497954652,4.297994269340966,-3.5502958579881616,0.26041269302368164,0.4484304932735439
1996-06-01,-0.6328656646203079,-1.9230780574096107,4.6419057199300395,5.288461538461542,-6.542047453463518,4.956268221574334,7.619047619047614,-2.941271755428554,5.583754746600378,4.833834464490416,5.62347582319398,2.898550724637672,-0.9523789730980559,9.868421052631572,6.521739130434789,-3.199999888867189,-12.362637362637363,-3.6809815950920255,-1.558441620207618,9.82142857142858
1996-07-01,-11.464965506458347,-7.189540125155236,-4.5627334235806565,-12.328767123287676,-11.000009012221856,6.111111111111112,-7.374631268436582,-3.030404177579016,-9.61538481317329,-5.1873196314847325,-6.712969144185388,-0.7042253521126751,0.9615364440094698,-11.976047904191612,-4.336734693877553,-7.851237593888493,-6.269592476489027,-9.554140127388532,-6.332454080806283,-8.536585365853655
1996-08-01,-2.877723163128032,4.999997119966637,0.9296113135104367,-11.979166666666663,8.988749524917461,-3.926701570680624,3.5031847133758065,2.343904436727029,0.0,1.0638287026511595,5.45907068572975,-0.23640661938534313,4.761902287801134,-1.3605442176870763,6.666666666666665,4.932733191240324,1.0033444816053505,-7.042253521126762,2.816910126029426,3.111111111111109
1996-09-01,12.592582702636722,8.450710696252205,6.052635715939081,1.183431952662728,2.577345631487016,25.34059945504088,6.923076923076921,20.610528908985447,1.0638377768578344,9.473692995085159,7.058820393176424,11.848341232227488,5.454548417335725,-12.413793103448278,1.750000000000007,2.1367464919253676,11.920529801324498,3.0303030303030276,5.616433940879761,12.06896551724137
1996-10-01,-5.26314957320122,13.636362199342479,7.816372763652701,2.923976608187129,5.527642612423755,-5.434782608695654,6.043165467625888,-6.961823563969882,6.315791370000778,6.318676830962611,-3.516492620900158,6.779661016949157,6.034483627388498,-7.874015748031493,-0.7371007371007376,5.020920593290579,-8.284023668639051,-2.941176470588236,0.0,5.000000000000004
1996-11-01,-2.0833492279052734,0.5714266637213861,5.868816175314118,9.659090909090917,13.33333823794356,7.35632183908046,0.5427408412483015,-4.762121632161998,0.9900851688444234,7.4935412121838185,-5.0113863506595635,8.531746031746025,-0.813012766265897,-4.273504273504269,1.2376237623762387,16.334670284755703,-0.3225806451612856,9.090909090909083,12.840466926070038,5.860805860805862
1996-12-01,9.92910262235318,0.0,-5.869565266066557,-12.95336787564767,0.42013754978811324,2.7837259100642386,-0.4048582995951455,-24.999789510253713,-0.9803785858672254,-4.927882545028739,-3.836924157366972,-1.2797074954296161,4.918035509662633,0.0,2.933985330073341,-1.36986887898346,-9.708737864077666,-2.083333333333337,-1.7241379310344862,20.41522491349481
